aircraft,tailnumber,pilot,departure,arrival,distance_nm,duration_min,duration_hhmm,date_dep_form,date_arr_form,dep_lat,dep_lon,arr_lat,arr_lon,ac_icao_type,ac_manufacturer,ac_model,ac_category,ac_is_ga,ac_airline_name
N930DX,N930DX,ClimbToFL150,KBFI,KEUG,207.0,95,1:35 h,2026-01-03 23:59:00,2026-01-04 01:35:00,47.529999,-122.302002,44.12459945678711,-123.21199798583984,TBM9,Daher,TBM 930,PASSENGER,Yes,
OH-LXA,OH-LXA,bradfier,EFHK,LOWI,916.0,162,2:42 h,2026-01-03 21:52:00,2026-01-04 00:35:00,60.318363,24.963341,47.260201,11.344,A320,Airbus,A320,PASSENGER,No,Finnair
N475UA,N475UA,Jaraffe,KDEN,KASE,108.0,49,0:49 h,2026-01-03 20:57:00,2026-01-03 21:46:00,39.861698150635,-104.672996521,39.223202,-106.869003,A320,Airbus,A320-232,PASSENGER,No,United Airlines
N204CM,N204CM,Alan5234,KGAS,KCPS,374.0,242,4:02 h,2026-01-03 18:41:00,2026-01-03 22:44:00,,,38.570701599100005,-90.1561965942,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
N817EM,N817EM,jimmy_carrot,LIML,LOWW,339.0,75,1:15 h,2026-01-03 18:36:00,2026-01-03 19:51:00,45.445099,9.27674,48.110298,16.5697,LJ35,Learjet,35A,PASSENGER,Yes,
N817EM,N817EM,jimmy_carrot,LFPB,LIML,349.0,79,1:19 h,2026-01-03 16:41:00,2026-01-03 18:00:00,48.969398,2.44139,45.445099,9.27674,LJ35,Learjet,35A,PASSENGER,Yes,
OE-LWF,OE-LWF,prl,LOWW,LBSF,434.0,105,1:45 h,2026-01-03 16:01:00,2026-01-03 17:47:00,48.110298,16.5697,42.696357,23.417671,E195,Embraer,ERJ-190-200LR,PASSENGER,No,Austrian
N204CM,N204CM,Phil,KCGS,KGAS,244.0,164,2:44 h,2026-01-03 15:55:00,2026-01-03 18:39:00,38.9805984497,-76.9223022461,,,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
CS-TJF,CS-TJF,AndyV,LPPT,EGLL,844.0,167,2:47 h,2026-01-03 15:18:00,2026-01-03 18:05:00,38.7813,-9.13592,51.4706,-0.461941,A321,Airbus,A321-211,PASSENGER,No,TAP Air Portugal
OH-LXA,OH-LXA,bradfier,EDDF,EFHK,831.0,167,2:47 h,2026-01-03 13:37:00,2026-01-03 16:24:00,50.030241,8.561096,60.318363,24.963341,A320,Airbus,A320,PASSENGER,No,Finnair
F-GKXC,F-GKXC,1293211,LFMT,LFST,334.0,85,1:25 h,2026-01-03 12:26:00,2026-01-03 13:51:00,43.576199,3.96301,48.53829956054688,7.628230094909668,A320,Airbus,A320,PASSENGER,No,Air France
N817EM,N817EM,jimmy_carrot,EGLF,LFPB,185.0,62,1:02 h,2026-01-03 06:50:00,2026-01-03 07:52:00,51.275799,-0.776333,48.969398,2.44139,LJ35,Learjet,35A,PASSENGER,Yes,
N859GT,N859GT,semartinezmo,KCVG,CYYZ,358.0,96,1:36 h,2026-01-03 04:50:00,2026-01-03 06:26:00,39.048801,-84.667801,43.6772,-79.6306,B748,Boeing,747-87UF,FREIGHTER,No,Atlas Air
N900ZZ,N900ZZ,Jaraffe,KAUS,KTKI,187.0,68,1:08 h,2026-01-03 04:47:00,2026-01-03 05:55:00,30.197535,-97.662015,,,BT36,Beechcraft,B36TC Bonanza,PASSENGER,Yes,
N204CM,N204CM,1462381,KJFK,KCGS,176.0,185,3:05 h,2026-01-03 03:51:00,2026-01-03 06:56:00,40.639447,-73.779317,38.9805984497,-76.9223022461,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
